,0
380,"['history', 'documentary', 'queen', 'sainted', 'shield', 'documentary', 'mar']"
381,"['currently', 'listening', 'peter', 'discuss', 'show', 'interview', 'perception', 'historian', 'would', 'say', 'much', 'learn', 'topic', 'anonymous']"
382,"['peach', 'voice', 'march', 'bookworm', 'fantasy', 'fi', 'epic', 'poetry', 'adventure', 'e']"
383,"['naval', 'response', 'fleet', 'via']"
384,"['believe', 'armed', 'believe', 'video', 'design']"
385,"['complete', 'closure', 'border', 'ambassador']"
386,"['economy', 'effects', 'western', 'russia']"
387,"['update', 'satellite', 'image', 'confirming', 'claim', 'confirmed', 'spokesman', 'international', 'committee', 'red', 'cross', 'building', 'red', 'cross', 'building']"
388,"['complete', 'closure', 'border', 'ambassador']"
389,"['question', 'many', 'colonial', 'answer']"
390,"['complete', 'closure', 'border', 'ambassador']"
391,"['three', 'different', 'defensive']"
392,"['enough', 'deter', 'russia', 'navy', 'black', 'sea', 'weighed']"
393,"['russia', 'backed', 'people', 'militia', 'video', 'showing', 'near']"
394,"['daily', 'yesterday', 'frequent', 'used', 'gas', 'bot']"
395,"['question', 'many', 'colonial', 'answer']"
